"","X","Table.1","ANZSOC.Division","month","year","ANZSOC.Group","ANZSOC.Subdivision","Area.Unit","Location.Type","Locn.Type.Division","Occurrence.Day.Of.Week","Occurrence.Hour.Of.Day","Territorial.Authority","Weapon","Number.of.Records","Victimisations"
"632",632,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Takanini South.",".","Other Location","Saturday",10,"Auckland.","None",1,1
"633",633,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Holborn.",".","Other Location","Saturday",16,"Lower Hutt City.","None",1,1
"634",634,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Cathedral Square.",".","Other Location","Saturday",14,"Christchurch City.","Not Stated",1,1
"635",635,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Whenuapai West.",".","Other Location","Saturday",16,"Auckland.","Not Stated",1,1
"636",636,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Maraenui.",".","Other Location","Saturday",13,"Napier City.","None",1,1
"637",637,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Hamilton Central.",".","Other Location","Saturday",22,"Hamilton City.","None",1,1
"638",638,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Rongomai.",".","Other Location","Sunday",10,"Auckland.","None",1,1
"639",639,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Lyttelton.",".","Other Location","Sunday",12,"Christchurch City.","None",1,1
"640",640,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Kingseat.",".","Other Location","Sunday",15,"Auckland.","None",1,1
"641",641,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Massey Park.",".","Other Location","Sunday",11,"Auckland.","Not Stated",1,1
"642",642,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Dinsdale South.",".","Other Location","Sunday",4,"Hamilton City.","Not Stated",1,1
"643",643,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Hawera North.",".","Other Location","Sunday",0,"South Taranaki District.","Blunt Instrument N.F.D.",1,1
"644",644,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","Rototuna.",".","Other Location","Sunday",11,"Hamilton City.","Not Stated",1,1
"645",645,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Enderley.",".","Other Location","Thursday",14,"Hamilton City.","None",1,1
"646",646,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Te Awamutu South.",".","Other Location","Thursday",22,"Waipa District.","None",1,1
"647",647,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Victoria.",".","Other Location","Thursday",10,"Rotorua District.","Not Stated",1,1
"648",648,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Nelson Park.",".","Other Location","Thursday",13,"Napier City.","Not Stated",1,1
"649",649,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","St Leonards.",".","Other Location","Thursday",99,"Hastings District.","Not Stated",1,1
"650",650,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Whangarei Central.",".","Other Location","Tuesday",8,"Whangarei District.","None",1,2
"651",651,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Hornby North.",".","Other Location","Tuesday",13,"Christchurch City.","None",1,1
"652",652,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Willis Street-Cambridge Terrace.",".","Other Location","Tuesday",16,"Wellington City.","Not Stated",1,1
"653",653,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Resulting in Injury","Assault","St Leonards.",".","Other Location","Tuesday",20,"Hastings District.","Not Stated",1,1
"654",654,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Browns Bay.",".","Other Location","UNKNOWN",99,"Auckland.","None",1,1
"655",655,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Waihi Beach.",".","Other Location","Wednesday",9,"Western Bay of Plenty District.","None",1,1
"656",656,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Greenmeadows.",".","Other Location","Wednesday",13,"Napier City.","None",1,1
"657",657,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Hutt Central.",".","Other Location","Wednesday",18,"Lower Hutt City.","None",1,1
"658",658,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Common Assault","Assault","Tauranga Central.",".","Other Location","Wednesday",18,"Tauranga City.","Not Stated",1,1
"659",659,"1 Victimisation Time and Place","Acts Intended to Cause Injury","May","20","Serious Assault Not Resulting in Injury","Assault","Mangere Central.",".","Other Location","Wednesday",9,"Auckland.","None",1,1
"660",660,"1 Victimisation Time and Place","Sexual Assault and Related Offences","May","20","Aggravated Sexual Assault","Sexual Assault","Waiheke Island.",".","Other Location","Sunday",20,"Auckland.","Not Stated",1,1
"661",661,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Homai East.",".","Residential Location","Friday",11,"Auckland.","None",1,1
"662",662,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Hillmorton.",".","Residential Location","Friday",22,"Christchurch City.","None",1,1
"663",663,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Naenae North.",".","Residential Location","Friday",21,"Lower Hutt City.","Not Stated",1,1
"664",664,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Bader.",".","Residential Location","Monday",9,"Hamilton City.","None",1,1
"665",665,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Kaitemako.",".","Residential Location","Monday",14,"Tauranga City.","None",1,1
"666",666,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Harania North.",".","Residential Location","Monday",9,"Auckland.","Not Stated",1,1
"667",667,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Te Awamutu East.",".","Residential Location","Monday",21,"Waipa District.","Not Stated",1,1
"668",668,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Kapuni.",".","Residential Location","Saturday",10,"South Taranaki District.","None",1,1
"669",669,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Auckland Harbourside.",".","Residential Location","Saturday",16,"Auckland.","None",1,1
"670",670,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Wakeling.",".","Residential Location","Saturday",22,"Auckland.","None",1,1
"671",671,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Dacre.",".","Residential Location","Saturday",1,"Southland District.","Not Stated",1,1
"672",672,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Bulls.",".","Residential Location","Saturday",19,"Rangitikei District.","None",1,1
"673",673,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Broads.",".","Residential Location","Saturday",3,"Nelson City.","Sharp N.E.C.",1,1
"674",674,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Twizel Community.",".","Residential Location","Sunday",2,"Mackenzie District.","None",1,2
"675",675,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Makara-Ohariu.",".","Residential Location","Sunday",23,"Wellington City.","None",1,1
"676",676,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Kingsley-Chatham.",".","Residential Location","Sunday",17,"Hastings District.","Blunt Instrument N.F.D.",1,2
"677",677,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Western Heights.",".","Residential Location","Sunday",9,"Rotorua District.","None",1,1
"678",678,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Hokianga North.",".","Residential Location","Sunday",14,"Far North District.","Not Stated",1,1
"679",679,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Swarbrick.",".","Residential Location","Thursday",99,"Hamilton City.","None",1,1
"680",680,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Spriggens Park.",".","Residential Location","Thursday",20,"Wanganui District.","None",1,1
"681",681,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Heidelberg.",".","Residential Location","Thursday",22,"Invercargill City.","None",1,1
"682",682,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Oreti Beach.",".","Residential Location","Tuesday",99,"Invercargill City.","None",1,1
"683",683,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Hamilton Central.",".","Residential Location","Tuesday",19,"Hamilton City.","Not Stated",1,1
"684",684,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Waihi Beach.",".","Residential Location","Tuesday",20,"Western Bay of Plenty District.","Not Stated",1,1
"685",685,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Moanataiari.",".","Residential Location","Wednesday",12,"Thames-Coromandel District.","None",1,1
"686",686,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Halcombe.",".","Residential Location","Wednesday",17,"Manawatu District.","Not Stated",1,1
"687",687,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Grafton West.",".","Residential Location","Wednesday",18,"Auckland.","Not Stated",1,1
"688",688,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Mt Victoria West.",".","Residential Location","Wednesday",1,"Wellington City.","Not Stated",1,1
"689",689,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","Port Levy.",".","Residential Location","Friday",13,"Christchurch City.","Not Stated",1,1
"690",690,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","Cannons Creek North.",".","Residential Location","Thursday",10,"Porirua City.","Not Stated",1,1
"691",691,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Jun","20","Aggravated Sexual Assault","Sexual Assault","Weymouth West.",".","Residential Location","UNKNOWN",99,"Auckland.","Not Stated",1,1
"692",692,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Mahora.",".","Residential Location","Friday",13,"Hastings District.","None",1,1
"693",693,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Mangaweka.",".","Residential Location","Friday",15,"Rangitikei District.","Not Stated",1,1
"694",694,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Otara East.",".","Residential Location","Friday",16,"Auckland.","Blunt Instrument N.F.D.",1,1
"695",695,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Kaingaroa Forest.",".","Residential Location","Friday",14,"Rotorua District.","Not Stated",1,1
"696",696,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Mangapa-Matauri Bay.",".","Residential Location","Friday",18,"Far North District.","Not Stated",1,1
"697",697,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Palmerston North Central.",".","Residential Location","Monday",8,"Palmerston North City.","None",1,1
"698",698,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Dacre.",".","Residential Location","Monday",99,"Southland District.","None",1,1
"699",699,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Tarrangower.",".","Residential Location","Monday",15,"Ruapehu District.","Not Stated",1,1
"700",700,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Taumarunui Central.",".","Residential Location","Monday",17,"Ruapehu District.","Blunt Instrument N.E.C.",1,1
"701",701,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Ferguson.",".","Residential Location","Monday",18,"Auckland.","Not Stated",1,1
"702",702,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Onekawa South.",".","Residential Location","Saturday",23,"Napier City.","Other Weapon",1,1
"703",703,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Epuni East.",".","Residential Location","Saturday",19,"Lower Hutt City.","Blunt Instrument N.E.C.",1,2
"704",704,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Rehia-Oneriri.",".","Residential Location","Saturday",6,"Kaipara District.","Knife",1,1
"705",705,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Mayfair.",".","Residential Location","Saturday",21,"Hastings District.","Not Stated",1,1
"706",706,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Kohimarama West.",".","Residential Location","Sunday",13,"Auckland.","None",1,1
"707",707,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Te Akau.",".","Residential Location","Sunday",14,"Waikato District.","Not Stated",1,1
"708",708,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Woodhill.",".","Residential Location","Sunday",12,"Whangarei District.","None",1,1
"709",709,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Blaketown.",".","Residential Location","Thursday",9,"Grey District.","None",1,1
"710",710,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Common Assault","Assault","Maori Park.",".","Residential Location","Thursday",18,"Timaru District.","Not Stated",1,1
"711",711,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Blaketown.",".","Residential Location","Thursday",9,"Grey District.","None",1,1
"712",712,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Not Resulting in Injury","Assault","Rowandale.",".","Residential Location","Thursday",10,"Auckland.","Not Stated",1,1
"713",713,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Rewiti.",".","Residential Location","Thursday",13,"Auckland.","Blunt Instrument N.F.D.",1,1
"714",714,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Apr","20","Serious Assault Resulting in Injury","Assault","Gladstone-Avenal.",".","Residential Location","Thursday",17,"Invercargill City.","None",1,1
"715",715,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Auckland Central East.",".","Community Location","Friday",9,"Auckland.","None",1,1
"716",716,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Waerenga.",".","Community Location","Friday",10,"Waikato District.","None",1,1
"717",717,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Papakura Central.",".","Community Location","Friday",12,"Auckland.","None",1,2
"718",718,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Auckland Central West.",".","Community Location","Friday",13,"Auckland.","None",1,1
"719",719,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Dannevirke East.",".","Community Location","Friday",13,"Tararua District.","None",1,1
"720",720,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Dargaville.",".","Community Location","Friday",15,"Kaipara District.","None",1,1
"721",721,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Wairoa.",".","Community Location","Friday",15,"Wairoa District.","None",1,1
"722",722,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Weymouth East.",".","Community Location","Friday",16,"Auckland.","None",1,1
"723",723,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Bush Road.",".","Community Location","Friday",17,"Dunedin City.","None",1,1
"724",724,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Birdwood East.",".","Community Location","Friday",20,"Auckland.","None",1,1
"725",725,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Tawhai.",".","Community Location","Friday",21,"Lower Hutt City.","None",1,1
"726",726,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Southbridge.",".","Community Location","Friday",22,"Selwyn District.","None",1,1
"727",727,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Willis Street-Cambridge Terrace.",".","Community Location","Friday",23,"Wellington City.","None",1,1
"728",728,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Wattle Farm.",".","Community Location","Friday",0,"Auckland.","Not Stated",1,1
"729",729,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Belfast.",".","Community Location","Friday",19,"Christchurch City.","Not Stated",1,1
"730",730,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Te Kuiti.",".","Community Location","Friday",20,"Waitomo District.","Other Weapon",1,1
"731",731,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Broads.",".","Community Location","Friday",10,"Nelson City.","Knife",1,1
"732",732,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Oamaru Central.",".","Community Location","Friday",13,"Waitaki District.","None",1,1
"733",733,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Massey West.",".","Community Location","Friday",18,"Auckland.","None",1,1
"734",734,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Somerfield.",".","Community Location","Friday",20,"Christchurch City.","None",1,1
"735",735,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Kamo East.",".","Community Location","Friday",12,"Whangarei District.","Not Stated",1,1
"736",736,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Wiri.",".","Community Location","Friday",17,"Auckland.","Not Stated",1,1
"737",737,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Waiheke Island.",".","Community Location","Friday",22,"Auckland.","Not Stated",1,1
"738",738,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Phillipstown.",".","Community Location","Friday",1,"Christchurch City.","Other Weapon",1,2
"739",739,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Hillmorton.",".","Community Location","Friday",11,"Christchurch City.","Blunt Instrument N.F.D.",1,1
"740",740,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Marfell.",".","Community Location","Friday",9,"New Plymouth District.","None",1,1
"741",741,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Karapiro.",".","Community Location","Friday",14,"Waipa District.","None",1,2
"742",742,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Port Nelson.",".","Community Location","Friday",16,"Nelson City.","None",1,1
"743",743,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Yatton Park.",".","Community Location","Friday",22,"Tauranga City.","None",1,1
"744",744,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Turangi.",".","Community Location","Friday",8,"Taupo District.","Not Stated",1,1
"745",745,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Bader.",".","Community Location","Friday",17,"Hamilton City.","Not Stated",1,1
"746",746,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Windsor Park.",".","Community Location","Friday",23,"Auckland.","Not Stated",1,1
"747",747,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Mangere East.",".","Community Location","Friday",16,"Auckland.","Sharp N.F.D.",1,1
"748",748,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","New Plymouth Central.",".","Community Location","Monday",9,"New Plymouth District.","None",1,1
"749",749,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Otahuhu West.",".","Community Location","Monday",11,"Auckland.","None",1,1
"750",750,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Ashburton Central East.",".","Community Location","Monday",12,"Ashburton District.","None",1,1
"751",751,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Allenton East.",".","Community Location","Monday",13,"Ashburton District.","None",1,1
"752",752,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Gisborne Central.",".","Community Location","Monday",14,"Gisborne District.","None",1,1
"753",753,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Kingdale.",".","Community Location","Monday",15,"Auckland.","None",1,1
"754",754,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Bell Block.",".","Community Location","Monday",15,"New Plymouth District.","None",1,1
"755",755,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Halfway Bush.",".","Community Location","Monday",16,"Dunedin City.","None",1,1
"756",756,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Hairini.",".","Community Location","Monday",17,"Tauranga City.","None",1,1
"757",757,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Wilton.",".","Community Location","Monday",18,"Wellington City.","None",1,1
"758",758,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Lambton.",".","Community Location","Monday",20,"Wellington City.","None",1,1
"759",759,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Taihape.",".","Community Location","Monday",22,"Rangitikei District.","None",1,1
"760",760,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Britannia.",".","Community Location","Monday",99,"Nelson City.","None",1,1
"761",761,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Cathedral Square.",".","Community Location","Monday",13,"Christchurch City.","Not Stated",1,1
"762",762,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Mt Cook-Wallace Street.",".","Community Location","Monday",15,"Wellington City.","Not Stated",1,1
"763",763,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Parnell West.",".","Community Location","Monday",13,"Auckland.","Other Weapon",1,1
"764",764,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Hutt Central.",".","Community Location","Monday",11,"Lower Hutt City.","Blunt Instrument N.E.C.",1,1
"765",765,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Phillipstown.",".","Community Location","Monday",13,"Christchurch City.","None",1,1
"766",766,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Hamilton Central.",".","Community Location","Monday",19,"Hamilton City.","None",1,1
"767",767,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Hokowhitu East.",".","Community Location","Monday",8,"Palmerston North City.","Not Stated",1,1
"768",768,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Kaikohe.",".","Community Location","Monday",11,"Far North District.","Not Stated",1,1
"769",769,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Gisborne Central.",".","Community Location","Monday",13,"Gisborne District.","Not Stated",1,1
"770",770,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Victoria.",".","Community Location","Monday",14,"Rotorua District.","Not Stated",1,1
"771",771,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Kawaroa.",".","Community Location","Monday",19,"New Plymouth District.","Not Stated",1,1
"772",772,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Not Resulting in Injury","Assault","Paremoremo East.",".","Community Location","Monday",99,"Auckland.","Not Stated",1,1
"773",773,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Aranui.",".","Community Location","Monday",11,"Christchurch City.","Blunt Instrument N.E.C.",1,1
"774",774,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Gisborne Central.",".","Community Location","Monday",10,"Gisborne District.","None",1,1
"775",775,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Te Kauwhata.",".","Community Location","Monday",13,"Waikato District.","None",1,1
"776",776,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Henderson North.",".","Community Location","Monday",19,"Auckland.","None",1,1
"777",777,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Kaitaia East.",".","Community Location","Monday",0,"Far North District.","Not Stated",1,1
"778",778,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Manukau Central.",".","Community Location","Monday",11,"Auckland.","Not Stated",1,1
"779",779,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Serious Assault Resulting in Injury","Assault","Woodhaugh.",".","Community Location","Monday",16,"Dunedin City.","Not Stated",1,1
"780",780,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jun","20","Common Assault","Assault","Broads.",".","Community Location","Saturday",0,"Nelson City.","None",1,1
