"type","title","director","date_added","release_year","rating","duration","listed_in"
"Movie","Message from the King","Fabrice Du Welz","August 4, 2017",2017,"TV-MA","103 min","Independent Movies, Thrillers"
NA,"Wet Hot American Summer: Ten Years Later","","August 4, 2017",2017,"TV-MA","1 Season","TV Comedies"
NA,"Luo Bao Bei","","August 31, 2019",2018,"TV-Y","1 Season","British TV Shows, Kids' TV"
NA,"Cathedral of the Sea","","August 31, 2018",2017,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas"
"Movie","Chennai Express","Rohit Shetty","August 31, 2018",2013,"TV-14","135 min","Action & Adventure, Comedies, International Movies"
NA,"Inside the Criminal Mind","","August 31, 2018",2018,"TV-MA","1 Season","Crime TV Shows, Docuseries, International TV Shows"
"Movie","Justice, My Foot!","Johnnie To","August 31, 2018",1992,"TV-14","95 min","Action & Adventure, Comedies, International Movies"
NA,"Paradise PD","","August 31, 2018",2018,"TV-MA","1 Season","TV Comedies"
"Movie","Prince Charming","Wong Jing","August 31, 2018",1984,"TV-PG","93 min","Comedies, International Movies, Romantic Movies"
"Movie","The Laws of Thermodynamics","Mateo Gil","August 31, 2018",2018,"TV-MA","101 min","Comedies, International Movies, Romantic Movies"
NA,"Undercover Law","","August 31, 2018",2017,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
NA,"Yeh Meri Family","","August 31, 2018",2018,"TV-PG","1 Season","International TV Shows, TV Comedies"
"Movie","The Eichmann Show","Paul Andrew Williams","August 31, 2017",2015,"TV-MA","96 min","Dramas, International Movies"
"Movie","Back to School","Rémy Four, Julien War","August 30, 2019",2019,"TV-MA","84 min","Comedies, International Movies"
NA,"CAROLE & TUESDAY","","August 30, 2019",2019,"TV-MA","1 Season","Anime Series, International TV Shows, Teen TV Shows"
"Movie","Feo pero sabroso","Fernando Ayllón","August 30, 2019",2018,"TV-MA","91 min","Comedies, International Movies"
"Movie","Mi amigo Alexis","Alejandro Fernández Almendras","August 30, 2019",2019,"TV-PG","102 min","Children & Family Movies, Comedies, Dramas"
NA,"Styling Hollywood","","August 30, 2019",2019,"TV-14","1 Season","Reality TV"
NA,"The A List","","August 30, 2019",2018,"TV-PG","1 Season","British TV Shows, International TV Shows, TV Dramas"
NA,"The Dark Crystal: Age of Resistance","","August 30, 2019",2019,"TV-PG","1 Season","TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
NA,"The Good Bandit","","August 30, 2019",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"Movie","Unbridled","Jota Linares","August 30, 2019",2018,"TV-MA","100 min","International Movies, Thrillers"
"Movie","The Surrounding Game","Will Lockhart, Cole D. Pruitt","August 30, 2018",2018,"TV-14","98 min","Documentaries"
"Movie","Misfit","Erwin van den Eshof","August 3, 2019",2017,"TV-14","81 min","Children & Family Movies, Comedies, International Movies"
NA,"Cocaine Coast","","August 3, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
NA,"I AM A KILLER","","August 3, 2018",2018,"TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries"
"Movie","Like Father","Lauren Miller Rogen","August 3, 2018",2018,"TV-MA","104 min","Comedies, Dramas"
NA,"Marching Orders","","August 3, 2018",2018,"TV-14","1 Season","Docuseries"
"Movie","The Invisible Guardian","Fernando González Molina","August 3, 2017",2017,"TV-MA","129 min","International Movies, Thrillers"
"Movie","Expo","Joseph Mbah","August 29, 2019",2019,"TV-14","81 min","Action & Adventure, Dramas, Independent Movies"
"Movie","Falling Inn Love","Roger Kumble","August 29, 2019",2019,"TV-PG","98 min","Comedies, Romantic Movies"
"Movie","Kardec","Wagner de Assis","August 29, 2019",2019,"TV-14","110 min","Dramas, Faith & Spirituality, International Movies"
"Movie","Starred Up","David Mackenzie","August 29, 2019",2013,"TV-MA","106 min","Dramas, Independent Movies, International Movies"
NA,"Be-Be-Bears","","August 29, 2018",2018,"TV-Y","1 Season","Kids' TV"
"Movie","Inequality for All","Jacob Kornbluth","August 29, 2018",2013,"PG","90 min","Documentaries"
"Movie","Bring It On: Worldwide Showdown","Robert Adetuyi","August 29, 2017",2017,"PG-13","95 min","Comedies"
"Movie","Ryan Hamilton: Happy Face","Marcus Raboy","August 29, 2017",2017,"TV-14","57 min","Stand-Up Comedy"
"Movie","Travis Scott: Look Mom I Can Fly","White Trash Tyler","August 28, 2019",2019,"TV-MA","85 min","Documentaries, Music & Musicals"
"Movie","Conjuring Spirit","Van M. Pham","August 28, 2018",2014,"TV-MA","112 min","Horror Movies, International Movies, Thrillers"
"Movie","Naam Shabana","Shivam Nair","August 28, 2018",2017,"TV-14","141 min","Action & Adventure, International Movies"
"Movie","Qarib Qarib Singlle","Tanuja Chandra","August 28, 2018",2017,"TV-14","120 min","Comedies, International Movies, Romantic Movies"
"Movie","Spyder","A.R. Murugadoss","August 28, 2018",2017,"TV-14","140 min","Action & Adventure, International Movies"
"Movie","3 Generations","Gaby Dellal","August 28, 2017",2015,"PG-13","92 min","Dramas, LGBTQ Movies"
"Movie","A Leaf of Faith","Chris Bell","August 27, 2018",2018,"TV-MA","87 min","Documentaries"
NA,"Chicken Soup for the Soul's Being Dad","","August 27, 2018",2018,"TV-14","1 Season","Docuseries"
"Movie","Menorca","John Barnard","August 27, 2017",2016,"TV-MA","81 min","Dramas, Independent Movies"
"Movie","Dave Chappelle: Sticks & Stones","Stan Lathan","August 26, 2019",2019,"TV-MA","66 min","Stand-Up Comedy"
"Movie","May We Chat","Philip Yung","August 26, 2018",2014,"NR","99 min","Dramas, International Movies"
"Movie","Buster's Mal Heart","Sarah Adina Smith","August 26, 2017",2016,"TV-MA","98 min","Independent Movies, Thrillers"
"Movie","Madre","Aaron Burns","August 26, 2017",2016,"TV-MA","95 min","International Movies, Thrillers"
"Movie","Blue Is the Warmest Color","Abdellatif Kechiche","August 26, 2016",2013,"NC-17","180 min","Dramas, Independent Movies, International Movies"
"Movie","Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...","Jay Karas","August 26, 2016",2016,"TV-14","75 min","Stand-Up Comedy"
"Movie","XOXO","Christopher Louie","August 26, 2016",2016,"TV-MA","92 min","Dramas"
"Movie","One Last Thing","Tim Rouhana","August 25, 2019",2018,"TV-MA","92 min","Dramas"
"Movie","Hank: Five Years from the Brink","Joe Berlinger","August 25, 2018",2013,"TV-MA","86 min","Documentaries"
"Movie","Head On","Ana Kokkinos","August 25, 2018",1998,"TV-MA","104 min","Dramas, Independent Movies, LGBTQ Movies"
"Movie","InuYasha the Movie: Affections Touching Across Time","Toshiya Shinohara","August 25, 2018",2001,"TV-MA","100 min","Action & Adventure, Anime Features, International Movies"
"Movie","Maria Bamford: The Special Special Special","Jordan Brady","August 25, 2018",2012,"TV-MA","50 min","Stand-Up Comedy"
"Movie","Nymphomaniac: Volume II","Lars von Trier","August 25, 2018",2013,"TV-MA","124 min","Dramas, Independent Movies, International Movies"
"Movie","Behind ""The Cove"": The Quiet Japanese Speak Out","Keiko Yagi","August 25, 2017",2015,"TV-14","105 min","Documentaries, International Movies"
"Movie","Berlin Syndrome","Cate Shortland","August 25, 2017",2017,"R","116 min","International Movies, Thrillers"
"Movie","Death Note","Adam Wingard","August 25, 2017",2017,"TV-MA","100 min","Horror Movies, Thrillers"
"Movie","Pekak","Mohd Khairul Azri Bin Md Noor","August 25, 2017",2016,"TV-MA","95 min","Dramas, International Movies"
"Movie","Abzurdah","Daniela Goggi","August 25, 2016",2015,"TV-MA","90 min","Dramas, International Movies"
NA,"Jonathan Strange & Mr Norrell","Toby Haynes","August 25, 2016",2015,"TV-14","1 Season","British TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
"Movie","Drink Drank Drunk","Yeung Yat-Tak","August 24, 2019",2016,"TV-MA","92 min","Comedies, International Movies"
"Movie","Fanatic","Keith L. Smith","August 24, 2019",2019,"TV-14","91 min","Thrillers"
"Movie","Bert Kreischer: Secret Time","Todd Biermann","August 24, 2018",2018,"TV-MA","57 min","Stand-Up Comedy"
NA,"El Cartel","","August 24, 2018",2008,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
NA,"El Cartel 2","","August 24, 2018",2010,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
NA,"GHOUL","Patrick Graham","August 24, 2018",2018,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Horror"
"Movie","One Last Shot","Mike Clattenburg","August 24, 2018",1998,"TV-MA","31 min","Comedies"
NA,"Take My Brother Away","Han Qing","August 24, 2018",2018,"TV-14","1 Season","International TV Shows, TV Comedies, TV Dramas"
"Movie","The After Party","Ian Edelman","August 24, 2018",2018,"TV-MA","90 min","Comedies, Music & Musicals"
NA,"The Drunk and on Drugs Happy Funtime Hour","","August 24, 2018",2011,"TV-MA","1 Season","International TV Shows, TV Comedies"
NA,"The Innocents","","August 24, 2018",2018,"TV-MA","1 Season","British TV Shows, International TV Shows, Romantic TV Shows"
"Movie","The Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe","Randall Lobb, Robert McCallum","August 24, 2018",2017,"TV-PG","96 min","Documentaries"
"Movie","Kaake Da Viyah","Rai Yuvraj Bains","August 23, 2019",2019,"TV-PG","133 min","Comedies, Dramas, International Movies"
"Movie","Marriage Palace","Sunil Thakur","August 23, 2019",2018,"TV-14","135 min","Comedies, International Movies"
"Movie","Mayday Life","Muh Chen","August 23, 2019",2019,"TV-PG","120 min","International Movies, Music & Musicals"
NA,"Rust Valley Restorers","","August 23, 2019",2019,"TV-14","1 Season","International TV Shows, Reality TV"
"Movie","Saavat","Saurabh Sinha","August 23, 2019",2019,"TV-14","118 min","Dramas, Independent Movies, International Movies"
"Movie","The Congress","Ari Folman","August 23, 2019",2013,"TV-MA","123 min","Dramas, International Movies, Sci-Fi & Fantasy"
NA,"Deadwind","","August 23, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
"Movie","Elephants Dream 4 Hour","Bassam Kurdali","August 23, 2018",2006,"TV-MA","196 min","International Movies, Sci-Fi & Fantasy"
"Movie","The Lodgers","Brian O'Malley","August 23, 2018",2017,"R","93 min","Horror Movies, International Movies"
"Movie","Feel Rich","Peter Spirer","August 23, 2017",2017,"TV-MA","70 min","Documentaries"
NA,"Love Alarm","","August 22, 2019",2019,"TV-MA","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
"Movie","Lynne Koplitz: Hormonal Beast","Marcus Raboy","August 22, 2017",2017,"TV-MA","51 min","Stand-Up Comedy"
"Movie","Sadie's Last Days on Earth","Michael Seater","August 22, 2017",2016,"TV-14","94 min","Comedies, Sci-Fi & Fantasy"
"Movie","American Factory","Steven Bognar, Julia Reichert","August 21, 2019",2019,"TV-14","110 min","Documentaries"
"Movie","Game Over (Hindi Version)","Ashwin Saravanan","August 21, 2019",2019,"TV-MA","98 min","Horror Movies, International Movies, Thrillers"
"Movie","Game Over (Tamil Version)","Ashwin Saravanan","August 21, 2019",2019,"TV-MA","98 min","Horror Movies, International Movies, Thrillers"
"Movie","Game Over (Telugu Version)","Ashwin Saravanan","August 21, 2019",2019,"TV-MA","98 min","Horror Movies, International Movies, Thrillers"
NA,"Hyperdrive","","August 21, 2019",2019,"TV-PG","1 Season","Reality TV"
"Movie","The Girl Allergic to Wi-Fi","Jun Lana","August 21, 2019",2018,"TV-MA","104 min","International Movies, Romantic Movies"
"Movie","Bareilly Ki Barfi","Ashwiny Iyer Tiwari","August 21, 2018",2017,"TV-PG","110 min","Comedies, Dramas, International Movies"
"Movie","Mersal","Atlee Kumar","August 21, 2018",2017,"TV-14","162 min","Action & Adventure, Dramas, International Movies"
"Movie","Mom","Ravi Udyawar","August 21, 2018",2017,"TV-MA","139 min","Dramas, International Movies, Thrillers"
"Movie","Pad Man","R. Balki","August 21, 2018",2018,"PG-13","130 min","Dramas, International Movies, Romantic Movies"
"Movie","Toilet: Ek Prem Katha","Shree Narayan Singh","August 21, 2018",2017,"TV-14","145 min","Comedies, Dramas, International Movies"
"Movie","Bad Rap","Salima Koroma","August 21, 2017",2016,"TV-MA","83 min","Documentaries, Music & Musicals"
NA,"Hati Perempuan","","August 21, 2017",2015,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
"Movie","KL Zombi","Woo Ming Jin","August 21, 2017",2013,"TV-MA","92 min","Comedies, Horror Movies, International Movies"
"Movie","Rembat","Shamyl Othman","August 21, 2017",2015,"TV-14","88 min","Action & Adventure, Comedies, International Movies"
"Movie","Unacknowledged","Michael Mazzola","August 21, 2017",2017,"TV-MA","104 min","Documentaries"
"Movie","Gangs of New York","Martin Scorsese","August 20, 2019",2002,"R","167 min","Dramas"
"Movie","Our Planet - Behind The Scenes","","August 20, 2019",2019,"TV-G","63 min","Documentaries"
"Movie","Simon Amstell: Set Free","Julia Knowles","August 20, 2019",2019,"TV-MA","52 min","Stand-Up Comedy"
NA,"Leo & Tig","","August 20, 2018",2017,"TV-Y7","1 Season","Kids' TV"
"Movie","Camera Store","Scott Marshall Smith","August 20, 2017",2016,"TV-MA","104 min","Comedies, Dramas"
"Movie","Dhanak","Nagesh Kukunoor","August 20, 2016",2015,"TV-PG","114 min","Comedies, Dramas, Independent Movies"
NA,"Basketball or Nothing","","August 2, 2019",2019,"TV-PG","1 Season","Docuseries, Reality TV"
NA,"Care Bears: Welcome to Care-a-Lot","","August 2, 2019",2012,"TV-Y","1 Season","Kids' TV"
"Movie","For Greater Glory","Dean Wright","August 2, 2019",2012,"R","145 min","Dramas, International Movies"
"Movie","Léa & I","Camille Shooshani","August 2, 2019",2019,"TV-MA","84 min","Documentaries"
"Movie","Now and Then","Lesli Linka Glatter","August 2, 2019",1995,"PG-13","102 min","Dramas"
"Movie","Otherhood","","August 2, 2019",2019,"R","101 min","Comedies"
"Movie","Uriyadi 2","Vijay Kumar","August 2, 2019",2019,"TV-MA","116 min","Dramas, International Movies"
"Movie","7 Khoon Maaf","Vishal Bhardwaj","August 2, 2018",2011,"TV-MA","148 min","Dramas, International Movies, Thrillers"
"Movie","Chillar Party","Vikas Bahl, Nitesh Tiwari","August 2, 2018",2011,"TV-PG","127 min","Children & Family Movies, Comedies, Dramas"
"Movie","Concussion","Stacie Passon","August 2, 2018",2013,"R","96 min","Dramas, Independent Movies, LGBTQ Movies"
"Movie","Emelie","Michael Thelin","August 2, 2018",2016,"TV-MA","82 min","Horror Movies, Thrillers"
"Movie","Fashion","Madhur Bhandarkar","August 2, 2018",2008,"TV-MA","158 min","Dramas, International Movies"
"Movie","Fitoor","Abhishek Kapoor","August 2, 2018",2016,"TV-14","124 min","Dramas, International Movies, Romantic Movies"
"Movie","Fiza","Khalid Mohamed","August 2, 2018",2000,"TV-14","163 min","Dramas, International Movies, Music & Musicals"
"Movie","Forever Chape","Luis Ara","August 2, 2018",2018,"TV-14","74 min","Documentaries, International Movies, Sports Movies"
"Movie","Guzaarish","Sanjay Leela Bhansali","August 2, 2018",2010,"TV-14","121 min","Dramas, International Movies"
"Movie","Haider","Vishal Bhardwaj","August 2, 2018",2014,"TV-MA","154 min","Dramas, International Movies, Romantic Movies"
"Movie","Highway","Imtiaz Ali","August 2, 2018",2014,"TV-14","127 min","Action & Adventure, Dramas, International Movies"
"Movie","I Hate Luv Storys","Punit Malhotra","August 2, 2018",2010,"TV-14","128 min","Comedies, International Movies, Music & Musicals"
"Movie","Joker","Shirish Kunder","August 2, 2018",2012,"TV-PG","98 min","Comedies, International Movies, Music & Musicals"
"Movie","Khosla Ka Ghosla","Dibakar Banerjee","August 2, 2018",2006,"TV-14","124 min","Comedies, Dramas, International Movies"
"Movie","Main aurr Mrs. Khanna","Prem Soni","August 2, 2018",2009,"TV-PG","109 min","International Movies, Music & Musicals, Romantic Movies"
"Movie","Mohenjo Daro","Ashutosh Gowariker","August 2, 2018",2016,"TV-14","168 min","Action & Adventure, Dramas, International Movies"
"Movie","On the Wrong Track","Clarence Yiu-leung Fok","August 2, 2018",1983,"TV-14","89 min","Action & Adventure, International Movies"
"Movie","Raajneeti","Prakash Jha","August 2, 2018",2010,"TV-MA","162 min","Dramas, International Movies, Thrillers"
"Movie","Rang De Basanti","Rakeysh Omprakash Mehra","August 2, 2018",2006,"TV-MA","159 min","Dramas, International Movies"
"Movie","Rowdy Rathore","Prabhu Deva","August 2, 2018",2012,"TV-MA","137 min","Action & Adventure, Comedies, International Movies"
"Movie","Tamasha","Imtiaz Ali","August 2, 2018",2015,"TV-PG","133 min","Dramas, International Movies, Romantic Movies"
"Movie","Tees Maar Khan","Farah Khan","August 2, 2018",2010,"TV-PG","125 min","Comedies, International Movies, Music & Musicals"
"Movie","Tere Naal Love Ho Gaya","Mandeep Kumar","August 2, 2018",2012,"TV-PG","127 min","Comedies, International Movies, Romantic Movies"
"Movie","Thank You","Anees Bazmee","August 2, 2018",2011,"TV-14","131 min","Comedies, International Movies, Romantic Movies"
"Movie","The Blue Umbrella","Vishal Bhardwaj","August 2, 2018",2005,"TV-PG","90 min","Children & Family Movies, Dramas, Independent Movies"
"Movie","Lavell Crawford: Can a Brother Get Some Love?","Michael Drumm","August 2, 2016",2011,"NR","81 min","Stand-Up Comedy"
"Movie","Attitude Test","Fabrizio Copano, Augusto Matte","August 19, 2018",2016,"TV-14","88 min","Comedies, Independent Movies, International Movies"
"Movie","Barrio Universitario","Esteban Vidal","August 19, 2018",2013,"TV-14","91 min","Comedies, International Movies"
"Movie","Héroes","Esteban Vidal","August 19, 2018",2015,"TV-MA","91 min","Comedies, International Movies"
"Movie","Hide and Seek","Liu Jie","August 19, 2017",2016,"TV-14","104 min","International Movies, Thrillers"
"Movie","Railroad Tigers","Ding Sheng","August 19, 2017",2016,"TV-14","124 min","Action & Adventure, Comedies, International Movies"
NA,"Fearless","","August 19, 2016",2016,"TV-14","1 Season","Docuseries"
"Movie","I'll Sleep When I'm Dead","Justin Krook","August 19, 2016",2016,"TV-MA","80 min","Documentaries, Music & Musicals"
"Movie","Alejandro Sanz: What I Was Is What I Am","Gervasio Iglesias, Alexis Morante","August 18, 2018",2018,"TV-14","102 min","Documentaries, International Movies, Music & Musicals"
"Movie","Peter Rabbit","Will Gluck","August 18, 2018",2018,"PG","95 min","Children & Family Movies, Comedies"
NA,"Save Our Shelter","","August 18, 2018",2015,"TV-G","1 Season","Reality TV"
NA,"Marvel's The Defenders","","August 18, 2017",2017,"TV-MA","1 Season","Crime TV Shows, TV Action & Adventure, TV Dramas"
"Movie","Undefeated","Daniel Lindsay, T.J. Martin","August 18, 2017",2011,"PG-13","113 min","Documentaries, Sports Movies"
"Movie","What Happened to Monday","Tommy Wirkola","August 18, 2017",2017,"TV-MA","124 min","Action & Adventure, Sci-Fi & Fantasy"
NA,"Magic for Humans","","August 17, 2018",2018,"TV-14","1 Season","Reality TV, TV Comedies"
"Movie","Party Monster: Scratching the Surface","","August 17, 2018",2018,"TV-14","33 min","Comedies"
"Movie","Same Kind of Different as Me","Michael Carney","August 17, 2018",2017,"PG-13","119 min","Dramas, Faith & Spirituality"
NA,"Stay Here","","August 17, 2018",2018,"TV-PG","1 Season","Reality TV"
"Movie","The Motive","Manuel Martín Cuenca","August 17, 2018",2017,"TV-MA","114 min","Comedies, Dramas, International Movies"
"Movie","To All the Boys I’ve Loved Before","Susan Johnson","August 17, 2018",2018,"TV-14","100 min","Comedies, International Movies, Romantic Movies"
NA,"Ultraviolet","","August 17, 2018",2017,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
"Movie","Yoo Byung Jae: Discomfort Zone","Y. Joon Chung","August 17, 2018",2018,"TV-MA","54 min","Stand-Up Comedy"
"Movie","Cop and a Half: New Recruit","Jon Rosenbaum","August 17, 2017",2017,"PG","96 min","Children & Family Movies, Comedies"
NA,"DreamWorks Shrek's Swamp Stories","","August 17, 2012",2008,"TV-PG","1 Season","Kids' TV, TV Action & Adventure, TV Comedies"
NA,"45 rpm","","August 16, 2019",2019,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
NA,"Apache: The Life of Carlos Tevez","","August 16, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
NA,"Better Than Us","","August 16, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
NA,"Blue Exorcist","","August 16, 2019",2011,"TV-14","1 Season","Anime Series, International TV Shows"
NA,"Diagnosis","","August 16, 2019",2019,"TV-14","1 Season","Docuseries, Science & Nature TV"
"Movie","For Love or Money","Mark Murphy","August 16, 2019",2019,"TV-MA","95 min","Comedies"
NA,"Green Frontier","","August 16, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
"Movie","Invader Zim: Enter the Florpus","","August 16, 2019",2019,"TV-Y7-FV","72 min","Children & Family Movies, Comedies, Sci-Fi & Fantasy"
"Movie","Selfless","Tarsem Singh","August 16, 2019",2015,"PG-13","117 min","Sci-Fi & Fantasy, Thrillers"
"Movie","Sextuplets","Michael Tiddes","August 16, 2019",2019,"TV-14","100 min","Comedies"
"Movie","Super Monsters Back to School","","August 16, 2019",2019,"TV-Y","24 min","Children & Family Movies"
NA,"The King's Avatar","","August 16, 2019",2019,"TV-14","1 Season","International TV Shows, TV Action & Adventure, TV Dramas"
"Movie","The Little Switzerland","Kepa Sojo","August 16, 2019",2019,"TV-MA","86 min","Comedies, International Movies"
NA,"Victim Number 8","","August 16, 2019",2018,"TV-MA","1 Season","International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
"Movie","Bhavesh Joshi Superhero","Vikramaditya Motwane","August 16, 2018",2018,"TV-14","150 min","Dramas, International Movies, Sci-Fi & Fantasy"
"Movie","Casino Tycoon 2","Wong Jing","August 16, 2018",1992,"TV-MA","108 min","Action & Adventure, Dramas, International Movies"
"Movie","Disciples Of The 36th Chamber","Chia-Liang Liu","August 16, 2018",1985,"NR","90 min","Action & Adventure, International Movies"
"Movie","Legendary Weapons of China","Chia-Liang Liu","August 16, 2018",1982,"TV-14","101 min","Action & Adventure, Cult Movies, International Movies"
"Movie","Lifeline","Johnnie To","August 16, 2018",1997,"TV-14","104 min","Action & Adventure, International Movies"
"Movie","Look Out, Officer","Sze Yu Lau","August 16, 2018",1990,"TV-MA","88 min","Action & Adventure, Comedies, International Movies"
"Movie","Love on Delivery","Stephen Chow","August 16, 2018",1994,"TV-14","93 min","Action & Adventure, Comedies, International Movies"
"Movie","Loving You","Johnnie To","August 16, 2018",1995,"TV-14","79 min","Dramas, International Movies"
"Movie","Mahjong Heroes","Li Pei-Chuan","August 16, 2018",1981,"TV-PG","92 min","Comedies, International Movies"
"Movie","Martial Arts of Shaolin","Chia-Liang Liu","August 16, 2018",1986,"TV-MA","90 min","Action & Adventure, International Movies"
"Movie","Mr. Virgin","Anthony Chan","August 16, 2018",1984,"TV-14","86 min","Comedies, Dramas, International Movies"
"Movie","My Schoolmate, the Barbarian","Siu-hung Chung, Wong Jing","August 16, 2018",2001,"TV-MA","90 min","Action & Adventure, Comedies, International Movies"
"Movie","Oh My Ghost 3","Poj Arnon","August 16, 2018",2012,"TV-MA","103 min","Comedies, Horror Movies, International Movies"
"Movie","Opium and the Kung Fu Master","Chia Tang","August 16, 2018",1984,"TV-MA","86 min","Action & Adventure, International Movies"
"Movie","Painted Faces","Alex Law","August 16, 2018",1988,"TV-PG","108 min","Dramas, International Movies"
"Movie","Return To The 36th Chamber","Chia-Liang Liu","August 16, 2018",1980,"R","97 min","Action & Adventure, Comedies, International Movies"
"Movie","Shark Busters","Herman Yau","August 16, 2018",2002,"TV-14","92 min","Dramas, International Movies"
"Movie","Sword Masters: Two Champions of Shaolin","Cheh Chang","August 16, 2018",1980,"R","101 min","Action & Adventure, International Movies"
"Movie","The Bare-Footed Kid","Johnnie To","August 16, 2018",1993,"TV-MA","83 min","Action & Adventure, International Movies"
"Movie","The Mad Monk","Johnny To","August 16, 2018",1993,"TV-14","85 min","Comedies, International Movies, Sci-Fi & Fantasy"
"Movie","The Young Vagabond","Sze Yu Lau","August 16, 2018",1985,"TV-14","85 min","Action & Adventure, Comedies, International Movies"
"Movie","Wish I Was Here","Zach Braff","August 16, 2018",2014,"R","106 min","Comedies, Dramas, Independent Movies"
NA,"Cannon Busters","","August 15, 2019",2019,"TV-MA","1 Season","Anime Series, International TV Shows"
"Movie","Chhota Bheem Kungfu Dhamaka","Rajiv Chilaka, Binayak Das","August 15, 2019",2019,"TV-Y7-FV","112 min","Children & Family Movies"
NA,"Til Death Do Us Part","Cho Li, Chen Hung-yi, Weica Wang, Liu Bang-yao, Lin Guan-fu, Shen Chi, YC Tom Lee","August 15, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Thrillers"
"Movie","Whindersson Nunes: Adult","Diego Pignataro","August 15, 2019",2019,"TV-MA","69 min","Stand-Up Comedy"
"Movie","Adventures in Public School","Kyle Rideout","August 15, 2018",2018,"NR","86 min","Comedies"
"Movie","Bioscope","Gajendra Ahire, Viju Mane, Girish Mohite, Ravi Jadhav","August 15, 2018",2015,"TV-14","131 min","Dramas, International Movies, LGBTQ Movies"
"Movie","For Here or to Go?","Rucha Humnabadkar","August 15, 2018",2015,"TV-MA","105 min","Comedies, Dramas, Independent Movies"
"Movie","Hostiles","Scott Cooper","August 15, 2018",2017,"R","134 min","Dramas"
"Movie","Hurricane Bianca: From Russia With Hate","Matt Kugelman","August 15, 2018",2018,"TV-MA","85 min","Comedies, Independent Movies, LGBTQ Movies"
NA,"Nuestra Lucha Libre","","August 15, 2018",2018,"TV-MA","1 Season","Docuseries, International TV Shows, Spanish-Language TV Shows"
NA,"The Creative Indians","","August 15, 2018",2017,"NR","1 Season","Docuseries, International TV Shows"
"Movie","What's Your Raashee?","Ashutosh Gowariker","August 15, 2018",2009,"TV-PG","203 min","Comedies, International Movies, Music & Musicals"
NA,"20 Minutes","","August 15, 2017",2013,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
"Movie","Barbecue","Matthew Salleh","August 15, 2017",2017,"TV-MA","101 min","Documentaries, International Movies"
"Movie","Brad Paisley's Comedy Rodeo","Jay Chapman","August 15, 2017",2017,"TV-MA","63 min","Stand-Up Comedy"
"Movie","Colin Quinn: Unconstitutional","Jay Chapman","August 15, 2017",2015,"TV-MA","56 min","Stand-Up Comedy"
"Movie","Goon","Michael Dowse","August 15, 2017",2011,"R","92 min","Comedies, Sports Movies"
NA,"Million Yen Women","","August 15, 2017",2017,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
"Movie","My Ex-Ex","Nathaniel Warsh","August 15, 2017",2015,"TV-MA","91 min","Comedies, Romantic Movies"
"Movie","We're No Animals","Alejandro Agresti","August 15, 2017",2015,"TV-MA","94 min","Comedies, Dramas, Independent Movies"
NA,"Behind Enemy Lines","","August 15, 2016",2001,"TV-14","1 Season","British TV Shows, Docuseries"
"Movie","Being AP","Anthony Wonke","August 15, 2016",2015,"TV-14","99 min","Documentaries, International Movies, Sports Movies"
"Movie","John & Jane","Ashim Ahluwalia","August 15, 2016",2005,"TV-14","79 min","Documentaries, International Movies"
"Movie","Louis C.K.: Live at the Comedy Store","Louis C.K.","August 15, 2016",2015,"","66 min","Movies"
"Movie","Real Crime: Supermarket Heist (Tesco Bomber)","","August 15, 2016",2010,"TV-14","46 min","Documentaries"
"Movie","Mission Blue","Robert Nixon, Fisher Stevens","August 15, 2014",2014,"TV-Y7","94 min","Documentaries"
NA,"Happy Jail","","August 14, 2019",2019,"TV-MA","1 Season","Crime TV Shows, Docuseries"
"Movie","Uyare","Manu Ashokan","August 14, 2019",2019,"TV-14","119 min","Dramas, International Movies"
