"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in"
80184974,"Movie","Concrete Football","Jesse Adang, Syrine Boulanouar","","Czech Republic, France","September 1, 2017",2016,"TV-MA","52 min","Documentaries, International Movies, Sports Movies"
80156941,"Movie","Ek Jaan Hain Hum","Rajiv Mehra","Rajiv Kapoor, Divya Rana, Shammi Kapoor, Tanuja, Kiran Vairale, Rakesh Bedi, Gulshan Grover, Monty Sharma","India","September 1, 2017",1983,"TV-14","151 min","Dramas, International Movies, Music & Musicals"
80178543,"TV Show","FINAL FANTASY XIV Dad of Light","","Yudai Chiba, Ren Osugi, Fumika Baba, Yoshihiko Hakamada, Hatsunori Hasegawa, Mako Ishino","Japan","September 1, 2017",2017,"TV-PG","1 Season","International TV Shows, TV Dramas"
70213196,"TV Show","Gurren Lagann","","Tetsuya Kakihara, Katsuyuki Konishi, Marina Inoue, Masaya Onosaka, Nobuyuki Hiyama, Shizuka Ito, Daiki Nakamura, Kisho Taniyama, Rina Sato, Kana Ueda, Kana Asumi, Mitsuki Saiga, Takako Honda, Yukari Fukui, Kiyoyuki Yanada, Michiko Neya, Akio Suyama, Kiyoshi Kawakubo, Narushi Ikeda, Andrea Kwan, Brett Weaver, Bridget Hoffman, Dave Bridges, David Lee Mckinney, Hynden Walch, Kyle Hebert, Michelle Ruff, Yuri Lowenthal","Japan","September 1, 2017",2007,"TV-14","1 Season","Anime Series, International TV Shows"
70208520,"TV Show","High Risk","","","United States","September 1, 2017",1988,"TV-G","1 Season","Docuseries, Reality TV"
80061314,"Movie","Incorruptible","Elizabeth Chai Vasarhelyi","","United States, Senegal","September 1, 2017",2015,"TV-MA","90 min","Documentaries"
70052492,"Movie","Inuyasha the Movie - L'isola del fuoco scarlatto","Toshiya Shinohara","Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna, Fumiko Orikasa, Richard Ian Cox, Moneca Stori","Japan","September 1, 2017",2004,"NR","88 min","Action & Adventure, Anime Features, International Movies"
70036200,"Movie","Inuyasha the Movie - La spada del dominatore del mondo","Toshiya Shinohara","Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue","Japan","September 1, 2017",2003,"NR","99 min","Action & Adventure, Anime Features, International Movies"
70018513,"Movie","InuYasha: The Movie 2: The Castle Beyond the Looking Glass","Toshiya Shinohara","Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Mieko Harada","Japan","September 1, 2017",2002,"NR","99 min","Action & Adventure, Anime Features, International Movies"
80158480,"Movie","Khoon Khoon","Mohammed Hussain","Danny Denzongpa, Mahendra Sandhu, Rekha, Faryal, Helen, Jagdeep","India","September 1, 2017",1973,"TV-14","132 min","Action & Adventure, International Movies"
80105933,"TV Show","LEGO Elves: Secrets of Elvendale","","Ashleigh Ball, Erin Mathews, Rebecca Husain, Kyle Rideout, Riley Murdock, Vincent Tong, Nicole Oliver, Scott McNeil, Kathleen Barr","United States","September 1, 2017",2017,"TV-Y7","1 Season","Kids' TV"
80139506,"Movie","Little Evil","Eli Craig","Adam Scott, Evangeline Lilly, Bridget Everett, Owen Atlas, Chris D'Elia, Donald Faison, Clancy Brown, Tyler Labine, Kyle Bornheimer, Carla Gallo, Brad Williams, Sally Field","United States","September 1, 2017",2017,"TV-MA","95 min","Comedies, Horror Movies"
80205314,"Movie","Lorai: Play to Live","Parambrata Chatterjee","Prasenjit Chatterjee, Payel Sarkar, Indrasish Roy, Kanchan Mullick, Kharaj Mukherjee, Gargi Roychowdhury, Deepankar De, Biswajit Chakraborty, Bharat Kaul, Rajat Ganguly","India","September 1, 2017",2015,"TV-14","155 min","Dramas, International Movies, Sports Movies"
80133200,"TV Show","Maniac","","Espen Petrus Andersen Lervaag, Håkon Bast Mossige, Arif Salum, Ingeborg Raustøl, Marte Germaine Christensen, Mats Mogeland","Norway","September 1, 2017",2015,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas"
80158545,"Movie","Manoranjan","Shammi Kapoor","Sanjeev Kumar, Zeenat Aman, Shammi Kapoor, Dev Kumar, Madan Puri, Paintal, Asit Kumar Sen, Agha, Murad, Shefali","India","September 1, 2017",1974,"TV-14","162 min","Comedies, International Movies, Music & Musicals"
80156939,"Movie","Mujrim","Umesh Mehra","Mithun Chakraborty, Madhuri Dixit, Suresh Oberoi, Shakti Kapoor, Pallavi Joshi, Gulshan Grover, Amrish Puri, Nutan, Jagdeep, Sharat Saxena","India","September 1, 2017",1989,"TV-14","163 min","Action & Adventure, Dramas, International Movies"
80152537,"Movie","Naruto Shippuden : Blood Prison","Masahiko Murata","Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki","Japan","September 1, 2017",2011,"TV-14","102 min","Action & Adventure, Anime Features, International Movies"
80045673,"Movie","Naruto Shippûden the Movie: The Will of Fire","Masahiko Murata","Junko Takeuchi, Kazuhiko Inoue, Chie Nakamura, Satoshi Hino, Showtaro Morikubo, Kentarô Itô, Ryoka Yuzuki, Kosuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura","Japan","September 1, 2017",2009,"TV-14","96 min","Action & Adventure, Anime Features, International Movies"
70275937,"Movie","Naruto Shippuden: The Movie: The Lost Tower","Masahiko Murata","Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Satoshi Hino, Toshiyuki Morikawa, Mutsumi Tamura, Mayuki Makiguchi, Kenji Hamada, Nobuaki Fukuda, Saori Hayami","Japan","September 1, 2017",2010,"TV-14","85 min","Action & Adventure, Anime Features, International Movies"
70101321,"Movie","Naruto the Movie 2: Legend of the Stone of Gelel","Hirotsugu Kawasaki","Junko Takeuchi, Showtaro Morikubo, Chie Nakamura, Gaamon Kai, Takako Honda, Akira Ishida, Yasuyuki Kase, Noriaki Sugiyama, Kazuhiko Inoue","Japan","September 1, 2017",2005,"NR","97 min","Action & Adventure, Anime Features, International Movies"
70108386,"Movie","Naruto the Movie 3: Guardians of the Crescent Moon Kingdom","Toshiyuki Tsuru","Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Naya Rokurô, Marika Hayashi, Hisao Egawa, Kenji Hamada, Haruhi Nanao","Japan","September 1, 2017",2006,"NR","95 min","Action & Adventure, Anime Features, International Movies"
70074559,"Movie","Naruto the Movie: Ninja Clash in the Land of Snow","Tensai Okamura","Yuri Lowenthal, Maile Flanagan, Sam Regal, Cam Clarke, Lex Lang, Kari Wahlgren, Crispin Freeman","Japan","September 1, 2017",2004,"NR","83 min","Action & Adventure, Anime Features, International Movies"
80162197,"Movie","Offline - Das leben ist kein bonuslevel","Florian Schnell","Moritz Jahn, Mala Emde, Ugur Ekeroglu, David Schütter, Hannes Wegener, Yung Ngo, Kida Khodr Ramadan","Germany","September 1, 2017",2016,"TV-MA","89 min","Action & Adventure, Comedies, International Movies"
80184055,"Movie","Resurface","Josh Izenberg, Wynn Padula","","United States","September 1, 2017",2017,"TV-MA","28 min","Documentaries, Sports Movies"
80160358,"Movie","Rocco","Thierry Demaizière, Alban Teurlai","Rocco Siffredi","France","September 1, 2017",2016,"TV-MA","103 min","Documentaries, International Movies"
60034929,"Movie","She's Gotta Have It","Spike Lee","Tracy Camilla Johns, Tommy Redmond Hicks, John Canada Terrell, Spike Lee, Raye Dowell, Joie Lee, S. Epatha Merkerson, Bill Lee, Cheryl Burr, Aaron Dugger","United States","September 1, 2017",1986,"R","84 min","Classic Movies, Comedies, Independent Movies"
80157134,"Movie","Sohni Mahiwal","Latif Faiziyev, Umesh Mehra","Zeenat Aman, Pran, Tanuja, Poonam Dhillon","India, Soviet Union","September 1, 2017",1984,"TV-PG","160 min","Dramas, International Movies, Romantic Movies"
80141891,"Movie","The Distinguished Citizen","Gastón Duprat, Mariano Cohn","Oscar Martínez, Dady Brieva, Andrea Frigerio, Nora Navas, Manuel Vicente, Belén Chavanne, Marcelo D'Andrea, Gustavo Garzón","Argentina, Spain","September 1, 2017",2016,"TV-MA","113 min","Comedies, Dramas, International Movies"
80183897,"Movie","The Drowning","Bette Gordon","Josh Charles, Julia Stiles, Avan Jogia, Tracie Thoms, Leo Fitzpatrick, Mike Houston, Jasper Newell","United States, Hong Kong","September 1, 2017",2016,"TV-MA","99 min","Thrillers"
80177834,"Movie","The Guardian Brothers","Gary Wang","Edward Norton, Dan Fogler, Mike Birbiglia, Bella Thorne, Randall Park, Mel Brooks, Nicole Kidman, Meryl Streep","China","September 1, 2017",2016,"TV-Y7-FV","86 min","Children & Family Movies, Comedies"
80121855,"Movie","The Last Shaman","Raz Degan","James Freeman","United Kingdom, Italy, Israel, Peru, United States","September 1, 2017",2016,"TV-MA","83 min","Documentaries, International Movies"
80168028,"Movie","The Lost Brother","Israel Adrián Caetano","Leonardo Sbaraglia, Daniel Hendler, Ángela Molina, Alián Devetac, Pablo Cedrón, Alejandra Flechner","Argentina, Uruguay, Spain, France","September 1, 2017",2017,"TV-MA","113 min","Dramas, International Movies"
80200913,"TV Show","Tip the Mouse","","Alyson Leigh Rosenfeld, Dave Wills, Serra Hirsch, Erica Schroeder, Jason Griffith","Germany, United States, Italy","September 1, 2017",2014,"TV-Y","1 Season","Kids' TV"
80190990,"Movie","Todo Sobre El Asado","Mariano Cohn, Gastón Duprat","El Negro Álvarez","Argentina","September 1, 2017",2016,"TV-14","86 min","Documentaries, International Movies"
80173269,"Movie","Who the F**k Is That Guy?","Drew Stone","Michael Alago","United States","September 1, 2017",2017,"TV-MA","78 min","Documentaries, LGBTQ Movies, Music & Musicals"
80106140,"Movie","A Noble Intention","Joram Lürsen","Gijs Scholten van Aschat, Jacob Derwig, Rifka Lodeizen, Juda Goslinga, Zeb Troostwijk, Elisabeth Hesemans, Joosje Duk","Netherlands","September 1, 2016",2015,"NR","111 min","Dramas, International Movies"
80106137,"Movie","Bon Bini Holland","Jelle de Jonge","Jandino Asporaat, Liliana de Vries, Teun Kuilboer, Sergio IJssel, Dennis Rudge, Alpha Oumar Barry, Phi Nguyen","Netherlands","September 1, 2016",2015,"TV-14","88 min","Comedies, International Movies"
80118873,"TV Show","Conspiracy","","Mark Bazeley","United Kingdom","September 1, 2016",2015,"TV-14","1 Season","British TV Shows, Docuseries"
70229514,"TV Show","Dead Set","","Jaime Winstone, Andy Nyman, Kevin Eldon, Davina McCall, Warren Brown, Riz Ahmed, Beth Cordingly, Kathleen McDermott, Raj Ghatak","United Kingdom","September 1, 2016",2008,"TV-MA","1 Season","British TV Shows, TV Horror, TV Thrillers"
80114155,"Movie","Dukhtar","Afia Nathaniel","Samiya Mumtaz, Mohib Mirza, Saleha Aref, Asif Khan, Adnan Shah, Ajab Gul, Abdullah Jan, Samina Ahmad, Omair Rana, Zeeshan Shafa","Pakistan, Norway, United States","September 1, 2016",2014,"TV-14","93 min","Dramas, Independent Movies, International Movies"
70303288,"TV Show","Easy Fortune Happy Life","","Lan Cheng-lung, Joe Chen, Roy Chiu, Jocelyn Wang, Chieh-kai Shiou, Ting Chiang, Wang Chuan","Taiwan","September 1, 2016",2009,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
80118841,"Movie","Figaro Pho","Luke Jurevicius","Luke Jurevicius","United Kingdom","September 1, 2016",2008,"TV-Y7","29 min","Children & Family Movies, Comedies"
80102579,"Movie","Full Out","Sean Cisterna","Jennifer Beals, Ana Golja, Art Hindle, Jake Epstein, Ramona Milano, Trevor Tordjman, Lamar Johnson, Asha Bromfield, Sarah Fisher","Canada, United States","September 1, 2016",2015,"TV-PG","88 min","Children & Family Movies, Dramas, Sports Movies"
80111273,"TV Show","Game Winning Hit","","Lego Lee, Alice Ko, Afalean Lu, Tsai Chen-nan, Wang Chuan, Leiya Gao, Charlize Lin","Taiwan","September 1, 2016",2009,"TV-PG","1 Season","International TV Shows, TV Comedies, TV Dramas"
80097438,"Movie","Holy Hell","Will Allen","","United States","September 1, 2016",2016,"NR","103 min","Documentaries"
80111710,"TV Show","Lucky Days","","Chris Wang, Tammy Chen, Fan Kuang-yao, Chen Bor Jeng, Lin Mei-hsiu, Ma Nien-hsien","China","September 1, 2016",2010,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
80114419,"Movie","Off Course","Nacho G. Velilla","Yon González, Julián López, Blanca Suárez, Malena Alterio, Úrsula Corberó, Miki Esparbé, Younes Bachir, Javier Cámara, Carmen Machi, José Sacristán","Spain","September 1, 2016",2015,"TV-MA","107 min","Comedies, International Movies"
80118888,"Movie","Saudi Arabia Uncovered","","","United Kingdom","September 1, 2016",2016,"TV-14","52 min","Documentaries"
80128337,"TV Show","Station Horizon","","Bernard Yerlès, Roland Vouilloz, Gaspard Boesch, Alexandra Vandernoot, Marie Fontannaz, Lavinia Longhi, Baptiste Gilliéron","Switzerland","September 1, 2016",2015,"TV-MA","1 Season","International TV Shows, TV Comedies, TV Dramas"
70303289,"TV Show","The Fierce Wife","","Sonia Sui, James Wen, Amanda Chu, Chris Wang, Karen Ying-Chen Hu, Patrick Lee, Janel Tsai, Li-li Pan, Fu Lei","Taiwan","September 1, 2016",2010,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
80111614,"TV Show","The Womanizer","","Lan Cheng-lung, Sonia Sui, James Wen, Bianca Bai, George Chang, Chung Hsin-ling, Tzu-chiang Chao, Xiao Xiao Bin","China","September 1, 2016",2010,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
80111275,"TV Show","The Year of Happiness and Love","","Amber Kuo, James Wen, Weber Yang, Sonia Sui, Nien-Jen Wu, Kay Huang, Tsai Chen-nan, Lin Mei-hsiu","Taiwan","September 1, 2016",2009,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
80103426,"Movie","We Need to Talk","David Serrano","Hugo Silva, Michelle Jenner, Ernesto Sevilla, Belén Cuesta, Óscar Ladoire, Ilay Kurelovic, Verónica Forqué, Luis Jaspe, Borja Luna, José Luis Marín","Spain","September 1, 2016",2016,"TV-MA","91 min","Comedies, International Movies, Romantic Movies"
80118889,"TV Show","Witches: A Century of Murder","","Suzannah Lipscomb","United Kingdom","September 1, 2016",2015,"TV-14","1 Season","British TV Shows, Crime TV Shows, Docuseries"
70278877,"Movie","Iliza Shlesinger: War Paint","Jay Chapman","Iliza Shlesinger","United States","September 1, 2013",2013,"NR","75 min","Stand-Up Comedy"
80244311,"Movie","After","Jenny Gage","Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher","United States","October 9, 2019",2019,"PG-13","106 min","Dramas, Romantic Movies"
81183570,"Movie","Home Is Where the Killer Is","Kaila York","Stacy Haiduk, Kelly Kruger, Christopher Sean, Anne Leighton, Beth Littleford, John-Paul Lavoisier, Kristoff St. John, Pallavi Sastry","United States","October 9, 2019",2019,"TV-14","87 min","Dramas, Thrillers"
80216665,"TV Show","Rhythm + Flow","","Cardi B, Chance The Rapper, T.I.","United States","October 9, 2019",2019,"TV-MA","1 Season","Reality TV"
81016328,"Movie","Garuda Di Dadaku","Ifa Isfansyah","Emir Mahira, Maudy Koesnaedi, Ikranagara, Aldo Tansani, Marsha Aruan, Ari Sihasale","Indonesia","October 9, 2018",2009,"TV-PG","96 min","Children & Family Movies, Dramas, Sports Movies"
80239503,"Movie","Mo Amer: The Vagabond","Stan Lathan","Mo Amer","United States","October 9, 2018",2018,"TV-MA","57 min","Stand-Up Comedy"
81016321,"Movie","Surat Dari Praha","Angga Dwimas Sasongko","Tio Pakusadewo, Julie Estelle, Widyawati, Rio Dewanto, Chicco Jerikho, Jajang C. Noer, Shafira Umm","Indonesia","October 9, 2018",2016,"TV-14","98 min","Dramas, International Movies, Romantic Movies"
80031666,"Movie","Winter on Fire: Ukraine's Fight for Freedom","Evgeny Afineevsky","","United Kingdom, Ukraine, United States","October 9, 2015",2015,"NR","99 min","Documentaries, International Movies"
80995737,"Movie","Deon Cole: Cole Hearted","Ryan Polito","Deon Cole","United States","October 8, 2019",2019,"TV-MA","70 min","Stand-Up Comedy"
81021976,"Movie","The Spooky Tale of Captain Underpants Hack-a-ween","","Nat Faxon, Jay Gragnani, Ramone Hamilton, Sean Astin, Dayci Brookshire, Clancy Brown, Jorge Diaz, Peter Hastings, Evan Kishiyama, David Koechner, Erica Luttrell, Patty Mattson, Brennan Murray, Kevin Michael Richardson, Mindy Sterling, Stephen Tobolowsky, Kari Wahlgren","United States","October 8, 2019",2019,"TV-Y7","46 min","Children & Family Movies, Comedies"
81020161,"Movie","Pulang","Kabir Bhatia","Puteri Aishah, Remy Ishak, Alvin Wong","Malaysia","October 8, 2018",2018,"TV-14","119 min","Action & Adventure, Dramas, International Movies"
80025390,"Movie","The Water Diviner","Russell Crowe","Russell Crowe, Olga Kurylenko, Yılmaz Erdoğan, Cem Yılmaz, Jai Courtney, Ryan Corr, James Fraser, Ben O'Toole, Steve Bastoni, Salih Kalyon","Australia, United States","October 7, 2019",2014,"R","111 min","Dramas, International Movies"
80196216,"Movie","Chris Brown: Welcome to My Life","Andrew Sandler","Chris Brown","United States","October 7, 2017",2017,"TV-MA","80 min","Documentaries, Music & Musicals"
80091741,"Movie","13TH","Ava DuVernay","","United States","October 7, 2016",2016,"TV-MA","101 min","Documentaries"
80115464,"Movie","Russell Peters: Almost Famous","Dave Higby","Russell Peters","United States","October 7, 2016",2016,"TV-MA","73 min","Stand-Up Comedy"
80113144,"TV Show","StoryBots Super Songs","","Judy Greer, Jeff Gill, Erin Fitzgerald, Fred Tatasciore, Gregg Spiridellis","United States","October 7, 2016",2016,"TV-Y","1 Season","Kids' TV"
80041653,"Movie","The Siege of Jadotville","Richie Smyth","Jamie Dornan, Guillaume Canet, Emmanuelle Seigner, Jason O'Mara, Mikael Persbrandt, Mark Strong, Michael McElhatton, Danny Sapani, Sam Keeley, Ronan Raftery, Mike Noble, Charlie Kelly, Conor MacNeill, Fionn O'Shea, Conor Quinlan, Jordan Mifsud","Ireland, South Africa","October 7, 2016",2016,"TV-MA","108 min","Action & Adventure, Dramas, International Movies"
81016338,"Movie","Love for Sale","Andibachtiar Yusuf","Gading Marten, Della Dartyan, Rukman Rosadi, Albert Halim, Verdi Solaiman, Adriano Qalbi, Sabrina Rochelle Kalangie, Rizky Mocil","Indonesia","October 6, 2019",2018,"TV-14","101 min","Dramas, International Movies, Romantic Movies"
81002592,"Movie","Jackpot","Dustin Nguyen","Chi Tai, Lan Ngoc, Dustin Nguyen, Thu Trang","Vietnam","October 6, 2018",2015,"TV-14","92 min","Comedies, Dramas, International Movies"
81017724,"Movie","Seven in Heaven","Chris Eigeman","Travis Tope, Haley Ramm, Jacinda Barrett, Gary Cole, Dylan Everett, Clark Backo, Vinson Tran, Paulino Nunes, Jeff Clarke","United States","October 6, 2018",2018,"PG-13","94 min","Horror Movies"
80174918,"TV Show","ID-0","","Kazuyuki Okitsu, Minami Tsuda, Masaya Matsukaze, Sayaka Ohara, Rikiya Koyama, Hisako Kanemoto, Ari Ozawa, Junko Minagawa, Reina Ueda","Japan","October 6, 2017",2017,"TV-14","1 Season","Anime Series, International TV Shows"
80170301,"Movie","Kung Fu Yoga","Stanley Tong","Jackie Chan, Disha Patani, Amyra Dastur, Sonu Sood, Aarif Rahman, Miya Muqi, Zhang Yixing, Eric Tsang","China, India, Nepal","October 6, 2017",2017,"TV-PG","107 min","Action & Adventure, Comedies, International Movies"
80189623,"Movie","The Death and Life of Marsha P. Johnson","David France","","United States","October 6, 2017",2017,"TV-MA","106 min","Documentaries, LGBTQ Movies"
80215730,"TV Show","Legend Quest: Masters of Myth","","Johnny Rose, Annemarie Blanco, Paul Tei, Oscar Cheda, Chuck Morgan, Jenna Lamia, James Carrey","Mexico","October 5, 2019",2019,"TV-Y7","1 Season","Kids' TV"
81161487,"TV Show","My Country: The New Age","","Yang Se-Jong, Woo Do‑hwan, Seolhyun, Jang Hyuk, Kim Young-chul, In Gyo-jin, Yu Oh-seong, Ahn Nae-sang","South Korea","October 5, 2019",2019,"TV-14","1 Season","International TV Shows, Korean TV Shows, TV Action & Adventure"
81177367,"Movie","Noblemen","Vandana Kataria","Ali Haji, Kunal Kapoor, Muskkaan Jaferi, Hardik Thakkar, Ali Mir, Shaan Grover, M.K. Raina, Ivan Rodrigues","India","October 5, 2019",2019,"TV-MA","109 min","Dramas, Independent Movies, International Movies"
81016323,"Movie","Cahaya Dari Timur Beta Maluku","Angga Dwimas Sasongko","Chicco Jerikho, Abdurrahman Arif, Jajang C. Noer, Ridho Hafiedz, Leo Maitimu, Shafira Umm, Glenn Fredly, Aufa Assagaf, Burhanuddin Ohorella, Bebeto Leutually","Indonesia","October 5, 2018",2014,"TV-14","151 min","Dramas, International Movies, Sports Movies"
80198511,"TV Show","Dancing Queen","","Justin ""Alyssa Edwards"" Johnson","","October 5, 2018",2018,"TV-14","1 Season","Reality TV"
81016318,"Movie","Emma' (Mother)","Riri Riza","Cut Mini Theo, Christoffer Nelwan, Arman Dewarti, Jajang C. Noer, Indah Permatasari, Dimi Cindyastira, Irmawati Jabbar, Andreuw Parinussa, Fanesa Kayla","Indonesia","October 5, 2018",2016,"TV-PG","74 min","Dramas, International Movies"
80240840,"TV Show","Empire Games","","Jim O'Brien","Czech Republic, United States","October 5, 2018",2018,"TV-14","1 Season","Docuseries"
80191369,"TV Show","LOST SONG","","Konomi Suzuki, Yukari Tamura, Misaki Kuno, Chiaki Takahashi, Seiichiro Yamashita, Asami Seto, Yu Serizawa, Ai Kayano, Tsuyoshi Koyama, Yuto Suzuki, Mitsuru Ogata, Hiroshi Ito","Japan","October 5, 2018",2018,"TV-14","1 Season","Anime Series, International TV Shows"
80242081,"Movie","Malevolent","Olaf de Fleur","Florence Pugh, Ben Lloyd-Hughes, Celia Imrie, James Cosmo, Scott Chambers, Georgina Bevan","United Kingdom","October 5, 2018",2018,"TV-MA","89 min","Horror Movies, Thrillers"
80168222,"Movie","Private Life","Tamara Jenkins","Paul Giamatti, Kathryn Hahn, Kayli Carter, Molly Shannon, John Carroll Lynch, Denis O'Hare, Desmin Borges, Tracee Chimo, Siobhan Fallon Hogan, Emily Robinson","United States","October 5, 2018",2018,"R","124 min","Comedies, Dramas, Independent Movies"
80999063,"Movie","Super Monsters Save Halloween","","Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr","","October 5, 2018",2018,"TV-Y","25 min","Children & Family Movies"
80220650,"TV Show","YG Future Strategy Office","","Seungri, Yoo Byung Jae, Lee Jai-jin, Jinu, Son Se-bin, Kim Ga-eun, Park Choong-hwan, Baek Yeong-gwang, Choi Sin-deuk","South Korea","October 5, 2018",2018,"TV-MA","1 Season","International TV Shows, Korean TV Shows, TV Comedies"
80164032,"Movie","A Plastic Ocean","","Tanya Streeter","United Kingdom, Hong Kong","October 4, 2019",2016,"TV-PG","100 min","Documentaries"
81158574,"Movie","Brother in Love","Onur Bilgetay","Cem Gelinoğlu, Melis Babadag, Ege Kökenli, Müfit Kayacan, Lale Başar, Ali Erkazan, Özlem Çakar, Selen Domaç, Ferdi Sancar, Güven Hokna","Turkey","October 4, 2019",2019,"TV-14","110 min","Comedies, International Movies, Romantic Movies"
80237905,"Movie","In the Tall Grass","Vincenzo Natali","Patrick Wilson, Laysla De Oliveira, Avery Whitted, Harrison Gilbertson, Rachel Wilson, Will Buie Jr.","Canada","October 4, 2019",2019,"TV-MA","102 min","Horror Movies, Thrillers"
81132440,"Movie","Kids on the Block","Tugçe Soysop","Selim Bayraktar, Berat Efe Parlar, Esat Polat Güler, Eda Döğer, Dora Dalgıç, Taha Sönmezisik, Zeynep Ilgin Çelik, Arda Taşarcan, Alperen Efe Esmer, İlknur Külahlıoglu, İkra Külahlıoğlu","Turkey","October 4, 2019",2019,"TV-PG","102 min","Children & Family Movies, Comedies"
80117803,"TV Show","Raising Dion","","Alisha Wainwright, Ja'Siah Young, Jason Ritter, Michael B. Jordan, Jazmyn Simon, Ali Ahn, Sammi Haney","United States","October 4, 2019",2019,"TV-PG","1 Season","Kids' TV, TV Action & Adventure, TV Dramas"
81021243,"Movie","Super Monsters: Vida's First Halloween","Jacob Joice, Steve Ball","Gigi Saul Guerrero, Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr","United States","October 4, 2019",2019,"TV-Y","24 min","Children & Family Movies"
81004460,"Movie","Compulsion","Craig Goodwill","Analeigh Tipton, Jakob Cedergren, Marta Gastini, Jan Bijvoet, Anita Kravos, Valentin Merlet","United Kingdom, Canada, Italy","October 4, 2018",2016,"TV-MA","84 min","Dramas, Thrillers"
81016330,"Movie","The Dreamer","Riri Riza","Vikri Septiawan, Rendy Ahmad, Azwir Fitrianto, Maudy Ayunda","Indonesia","October 4, 2018",2009,"TV-PG","121 min","Dramas, International Movies"
70105130,"Movie","The Haunting of Molly Hartley","Mickey Liddell","Haley Bennett, Jake Weber, Chace Crawford, Shannon Woodward, Shanna Collins, AnnaLynne McCord, Marin Hinkle, Nina Siemaszko, Josh Stewart, Jessica Lowndes, Randy Wayne","United States","October 4, 2018",2008,"PG-13","85 min","Horror Movies, Thrillers"
81010662,"TV Show","Violet Evergarden: Special","","Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Kouki Uchiyama, Minori Chihara, Haruka Tomatsu, Yoko Hikasa","Japan","October 4, 2018",2018,"TV-PG","1 Season","Anime Series, International TV Shows, Romantic TV Shows"
80141858,"Movie","LEGO Jurassic World: The Indominus Escape","Michael D. Black","A.J. LoCascio, Sendhil Ramamurthy, Fred Tatasciore, Jake Johnson, Lauren Lapkus, Zachary Levi, BD Wong, David Gunning","United States","October 4, 2016",2016,"TV-Y7","25 min","Children & Family Movies, Comedies"
81084225,"Movie","Grego Rossello: Disculpe las molestias","Juani Libonatti","Grego Rossello","Argentina","October 31, 2019",2019,"TV-MA","65 min","Stand-Up Comedy"
80203920,"TV Show","Nowhere Man","DJ Chen","Alyssa Chia, Mavis Fan, Joseph Chang, Wang Po-chieh, Jeremiah Zhang, Chou Min-fu, Greg Hsu, Kuo Tze-cheng, Shen Hai-jung, Lu Yi-long","Taiwan","October 31, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Action & Adventure"
80242051,"TV Show","Sleepless Society: Bedtime Wishes","","Shahkrit Yamnarm, Savika Chaiyadej, Supoj Chancharoen, Pairoj Sangwariboot, Suchao Pongwilai, Nataya Chanrung, Papangkorn Lerkchaleampote, Suchada Tongam, Sasin Chow","","October 31, 2019",2019,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
80199806,"Movie","Gun City","Dani de la Torre","Luis Tosar, Michelle Jenner, Vicente Romero, Manolo Solo, Paco Tous, Adriana Torrebejano, Pep Tosar, Jaime Lorente, Ernesto Alterio, Fernando Cayo","Spain, France","October 31, 2018",2018,"TV-MA","126 min","Dramas, International Movies, Thrillers"
